"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"64","Alex Killorn","ANA, T.B","C, L","227","4123.45","70","89","51","38","159","59.77","452","15.49","60.94","787","613","541","274","21","58","165","77","75","1","1","50","117","111","221","304","41","17","36","32.08"
"542","Jack Eichel","VGK","C","164","3209.45","72","87","49","38","159","70.98","634","11.36","54.44","983","791","479","176","32","67","43","16","14","1","1","49","125","132","130","233","140","956","1124","45.96"
"11","Brent Burns","CAR, S.J","D","246","5810.75","38","120","64","56","158","45.27","643","5.91","29.99","1536","959","373","45","27","137","104","52","52","0","0","23","205","158","136","145","199","1","1","50.00"
"134","Ryan O'Reilly","NSH, STL, TOR","C","213","4058.6333333333","63","94","47","47","157","58.58","450","14.00","61.43","709","593","542","281","21","67","46","23","23","0","0","46","66","160","63","170","112","2227","1788","55.47"
"187","Evgeny Kuznetsov","CAR, WSH","C","223","4170.75","44","113","69","44","157","65.69","476","9.24","50.66","858","671","443","165","18","48","130","61","60","0","1","45","151","126","113","111","66","1348","1634","45.20"
"500","Devon Toews","COL","D","228","5604.05","32","125","43","82","157","43.73","483","6.63","25.6","927","635","266","61","17","67","64","31","31","0","0","30","119","147","221","132","312","0","0","-"
"119","Gustav Nyquist","CBJ, MIN, NSH","C, L","214","3798.9666666667","52","103","68","35","155","63.79","377","13.79","46.96","643","514","380","186","24","56","50","25","25","0","0","34","84","114","118","213","115","43","58","42.57"
"317","Teuvo Teravainen","CAR","L","221","3759.2","59","96","60","36","155","63.52","488","12.09","48.32","841","676","432","146","19","65","50","25","25","0","0","15","141","110","46","144","70","123","114","51.90"
"654","Charlie McAvoy","BOS","D","219","5256.3833333333","29","126","52","74","155","47.11","404","7.18","26.01","808","568","297","61","13","55","196","86","81","4","1","74","167","84","398","518","392","0","0","-"
"463","Nikolaj Ehlers","WPG","L","189","3126.0833333333","65","89","57","32","154","75.49","610","10.66","54.86","1238","890","562","164","26","87","60","26","24","2","0","64","112","108","98","172","68","7","13","35.00"
"988","Dylan Cozens","BUF","C","239","3952.8666666667","62","91","57","34","153","64.02","571","10.86","64.39","968","746","604","254","40","93","138","51","44","4","3","66","86","97","197","286","76","1472","1688","46.58"
"109","John Carlson","WSH","D","200","4915.95","36","116","50","66","152","50.50","495","7.27","33.91","1088","745","349","59","19","96","72","31","30","0","1","31","170","121","184","238","372","0","0","-"
"285","Phillip Danault","L.A","C, L","239","4340.2333333333","62","90","54","36","152","63.60","506","12.25","59.14","829","684","538","270","17","76","119","50","46","3","1","55","99","71","235","266","97","1968","1724","53.30"
"432","Valeri Nichushkin","COL","R","169","3406.9","70","82","46","36","152","57.14","496","14.11","63.41","793","667","555","313","33","50","38","19","19","0","0","36","73","98","217","204","82","2","14","12.50"
"540","Pavel Zacha","BOS, N.J","C","230","3907.7333333333","57","95","46","49","152","61.29","427","13.35","53.16","742","601","537","232","37","44","56","28","28","0","0","32","110","92","253","197","61","908","833","52.15"
"107","Jordan Eberle","SEA","C, R","239","4147.05","58","93","63","30","151","61.38","509","11.39","60.59","944","728","589","269","31","68","65","30","29","1","0","28","87","164","122","249","82","71","99","41.76"
"210","Tyler Seguin","DAL","C","225","3831","70","81","47","34","151","66.81","561","12.48","60.98","919","746","558","257","28","61","80","40","40","0","0","35","108","75","241","144","75","1282","1024","55.59"
"480","Ivan Barbashev","STL, VGK","C","245","4027.1","61","89","58","31","150","60.00","359","16.99","51.5","642","507","490","243","19","57","124","53","49","4","0","65","123","121","522","309","109","224","335","40.07"
"188","Charlie Coyle","BOS","C","246","4301.15","57","92","50","42","149","68.98","417","13.67","51.59","709","585","457","248","32","67","100","46","45","0","1","61","120","151","283","212","156","1838","1758","51.11"
"265","William Karlsson","VGK","C","219","3889.45","56","92","51","41","148","65.78","471","11.89","59.63","828","666","532","263","23","73","42","17","16","0","1","45","102","130","135","306","127","1687","1411","54.45"
"328","Shayne Gostisbehere","ARI, CAR, DET","D","238","4926.85","37","111","49","62","148","56.06","445","8.31","26.52","955","648","278","43","15","70","74","33","32","0","1","65","166","97","135","186","259","0","0","-"
"405","Ryan Hartman","MIN","R","215","3674.6166666667","70","77","48","29","147","63.09","561","12.48","62.34","1041","829","563","227","40","71","257","101","91","5","5","91","99","104","209","209","153","1126","1372","45.08"
"1083","Seth Jarvis","CAR","C","231","3790.9333333333","64","82","48","34","146","58.63","475","13.47","68.86","846","685","590","333","28","79","44","22","22","0","0","44","105","95","257","515","112","177","226","43.92"
"543","Vince Dunn","SEA","D","213","4788.8","32","113","52","61","145","50.35","391","8.18","23.36","945","577","311","36","13","74","196","76","67","6","3","54","136","105","230","265","209","0","0","-"
"616","Conor Garland","VAN","R","240","3678.1333333333","56","89","53","36","145","70.39","570","9.82","57.32","972","775","550","212","32","73","102","36","31","2","3","85","82","147","152","342","71","10","24","29.41"
"995","Cole Caufield","MTL","R","195","3540.35","77","67","37","30","144","63.16","660","11.67","66.89","1185","923","617","188","36","85","28","14","14","0","0","47","91","84","92","172","41","12","14","46.15"
"486","Brandon Montour","FLA","D","227","4927.9833333333","35","108","42","66","143","42.69","563","6.22","36.71","1170","805","386","97","24","86","201","70","62","1","7","44","141","77","260","271","210","0","0","-"
"433","Max Domi","CAR, CBJ, CHI, DAL, TOR","C","232","3463.6666666667","40","102","63","39","142","65.14","420","9.52","41.84","782","578","383","157","22","62","255","86","70","9","7","54","126","127","99","149","55","775","713","52.08"
"991","Trevor Zegras","ANA","C","187","3397.6333333333","52","89","49","40","141","72.68","438","11.87","40.97","837","613","447","139","20","53","168","62","57","0","5","60","162","86","118","229","65","507","748","40.40"
"287","Rickard Rakell","ANA, PIT","L, R","222","3926.8","63","75","32","43","138","52.87","592","10.64","74.14","1105","846","672","325","23","90","50","25","25","0","0","35","94","85","352","370","124","49","64","43.36"
