"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"251","Ryan Pulock","NYI","D","40","897.48333333333","2","13","9","4","15","42.86","56","3.57","2.24","126","83","24","0","5","12","8","4","4","0","0","3","50","19","51","58","89","0","0","-"
"304","Gustav Forsling","FLA","D","41","941.58333333333","6","9","4","5","15","32.61","103","5.83","3.11","217","137","49","4","13","17","10","5","5","0","0","1","35","17","37","39","44","0","0","-"
"376","Mason Appleton","WPG","C","37","546.13333333333","6","9","5","4","15","62.50","61","9.84","6.66","99","79","42","21","3","8","6","2","2","0","0","5","21","9","35","51","20","7","4","63.64"
"463","Jesper Boqvist","FLA","C","38","495.56666666667","7","8","4","4","15","75.00","38","18.42","3.44","70","56","38","15","3","3","8","4","4","0","0","10","18","8","82","64","14","61","86","41.50"
"465","Eeli Tolvanen","SEA","R","41","557.16666666667","8","7","5","2","15","62.50","65","12.31","7.46","137","110","71","31","2","12","6","3","3","0","0","3","23","4","114","42","30","2","4","33.33"
"491","Eetu Luostarinen","FLA","C","41","636.4","6","9","5","4","15","65.22","42","14.29","5.94","86","68","55","24","7","5","12","6","6","0","0","7","22","13","90","77","31","16","22","42.11"
"537","Jack McBain","UTA","C","39","514.7","10","5","2","3","15","65.22","39","25.64","6.67","87","63","54","33","3","10","47","15","11","3","1","7","21","9","125","55","28","49","45","52.13"
"547","Michael Kesselring","UTA","D","39","744.76666666667","4","11","8","3","15","53.57","72","5.56","3.44","167","110","45","4","4","19","30","12","10","2","0","6","56","13","49","69","29","0","0","-"
"587","Alex Turcotte","L.A","C","33","412.98333333333","4","11","7","4","15","62.50","34","11.76","5.88","76","58","58","32","3","14","10","4","4","0","0","4","22","6","15","47","12","34","49","40.96"
"790","Leo Carlsson","ANA","C","33","534.43333333333","8","7","1","6","15","68.18","44","18.18","6.53","93","70","60","28","3","9","8","4","4","0","0","7","25","7","13","14","15","92","145","38.82"
"33","Lars Eller","PIT, WSH","C","38","549.91666666667","7","7","6","1","14","70.00","53","13.21","6.28","104","71","55","24","4","8","22","11","11","0","0","7","21","7","31","53","18","206","171","54.64"
"51","Marcus Johansson","MIN","L","39","631.43333333333","4","10","7","3","14","63.64","65","6.15","5.74","119","88","62","25","1","14","4","2","2","0","0","4","29","10","23","42","14","2","7","22.22"
"89","Charlie Coyle","BOS","C","42","723.16666666667","10","4","2","2","14","46.67","61","16.39","9.37","124","100","77","40","8","19","14","7","7","0","0","8","21","28","58","16","31","198","193","50.64"
"98","Vladimir Tarasenko","DET","R","38","554.6","4","10","7","3","14","53.85","62","6.45","5.64","135","92","76","21","9","7","4","2","2","0","0","5","26","7","28","37","13","0","2","0.00"
"102","Jeff Skinner","EDM","C, L","38","483.66666666667","7","7","5","2","14","82.35","82","8.54","8.38","143","108","79","32","10","15","8","4","4","0","0","6","23","9","19","25","14","9","8","52.94"
"218","Mattias Janmark","EDM","C","39","508.33333333333","1","13","9","4","14","82.35","25","4.00","3.58","53","39","31","20","2","3","10","5","5","0","0","6","22","6","13","47","13","21","25","45.65"
"248","Max Domi","TOR","C","33","482.43333333333","3","11","8","3","14","56.00","45","6.67","4.38","95","70","52","20","4","7","32","13","11","2","0","5","27","10","9","19","13","126","146","46.32"
"371","Niko Mikkola","FLA","D","36","722.21666666667","4","10","3","7","14","34.15","57","7.02","3.25","131","84","40","6","4","12","26","13","13","0","0","6","56","8","53","79","47","0","0","-"
"384","Brandon Tanev","SEA","L","40","579.83333333333","7","7","4","3","14","82.35","64","10.94","7.85","107","97","60","38","5","9","8","4","4","0","0","11","30","14","87","51","70","5","17","22.73"
"430","Ross Colton","COL","C","24","405.63333333333","12","2","2","0","14","50.00","60","20.00","8.59","110","83","76","39","3","14","4","2","2","0","0","5","17","6","56","35","20","27","40","40.30"
"487","Alex Iafallo","WPG","L","41","504.96666666667","6","8","7","1","14","50.00","49","12.24","4.87","78","64","49","25","4","8","13","5","4","1","0","6","16","16","23","16","28","4","5","44.44"
"513","Joel Farabee","PHI","L","40","616.55","6","8","6","2","14","58.33","82","7.32","10.7","133","109","85","47","5","14","17","7","6","1","0","8","36","12","44","48","24","10","21","32.26"
